2 inch  1080p resolution LCD display covered in Gorilla Glass 4,['display']
 The display is boosted by software technologies such as Triluminos and X Reality to maximize its color and brightness and make it deliver punchier colors,['display']
 The Sony Xperia XZ is powered by the ubiquitous Qualcomm Snapdragon 820 chipset that features a quad core processor  up to 2,['processor']
 Sony has decided to showcase its camera department s best work with the Xperia XZ  for the smartphone comes with a 23MP main camera powered by a custom Sony IMX300 imaging sensor,"['camera', 'camera']"
 The camera has an f 2,['camera']
 On the front  there s a 13MP camera with a 1 3 inch sensor  which is larger than those traditionally used in front cameras,['camera']
 Despite its 23MP camera  the Xperia XZ might have a hard time standing out,['camera']
 A 2900mAh battery runs the system with support for Quick Charge and a bespoke battery preservation tech that sees the smartphone stop charging at 90  and finish the rest of the battery slower as to prevent the cells from damage,"['battery', 'battery', 'battery']"
2 inch Full HD display  1080 x 1920 pixels  of an IPS LCD kind,['display']
  Triluminous    X Reality   Sony does not shy away from throwing in a bunch of pompous marketing names to convince everyone in the superior qualities of this screen,['screen']
 Most top shelf phones in 2016 come with the Qualcomm Snapdragon 820 system chip  and the Sony Xperia XZ is no exception  we have the 820 with 3GB of RAM here,['ram']
 The main camera on the Xperia XZ features a custom made Sony IMX300 sensor of 1 2,['camera']
 Up front  the Xperia XZ is equipped with a 13 megapixel camera,['camera']
 Then  there is the fact that the Xperia XZ has a 23 megapixel camera  but its default Superior Auto captures 8MP images,['camera']
 We ve already walked you through the counter intuitive way to switch to 4K video  you can t record 4K video in the  video  mode  you have to swipe up to the camera apps  and select 4K from there  and we ve already told you that it takes forever to switch to 4K video and the interface is absolutely contrary to intuitive,['camera']
 The Sony Xperia XZ features a non removable 2 900 mAh battery,['battery']
 However what most users will be really interested in is actual battery life in daily use,['battery']
 Another interesting thing we test is charge times  how much does it take to fully recharge the phone from 0 to 100  using the wall charger and cable provided in the box  So there you have it  the Sony Xperia XZ scores in the middle of the pack in terms of battery life  and it is annoyingly slow to recharge,['battery']
 However  there are just so many places where it falls short  especially compared to the strong competition  its display features bluish and not properly balanced colors  it sometimes stutters  it has a fairly scarce 20GB of user available storage space  its camera is slow and often counter intuitive  with images and videos that are not on the same level as the ones from iPhones and Galaxies  it lacks quick charging and in the United States it even ships without a fingerprint scanner,"['display', 'storage', 'camera']"
  For  50 less  you can get the excellent Apple iPhone 7 that delivers the same waterproofing  but also an exquisite body  an amazing camera and outstanding  smooth performance,['camera']
 For  100 less  you can get the also superior Galaxy S7 with its more compact design and excellent camera,['camera']
 With nightly charges  what happens is that the battery remains plugged in long after it s fully charged and this continuous trickle charge is stressful to a battery cell and makes it degrade faster,"['battery', 'battery']"
 Sony s clever trick here is that it learns that you usually wake up at  say  7am  and it would stop charging the battery at night when it reaches around 90   and will only resume charging closer to your wake up time,['battery']
 This way  you still wake up with a fully charged battery  but the damage from excessive charging is avoided,['battery']
  All of this hopefully should mean that battery health will remain excellent in the long run  but for users looking for the daily charging results  the score is really nothing to write home about,['battery']
  That s why we put it through its paces in our standardized battery test that puts all phones on equal playing ground  we set their screens at 200 nits of brightness  a level comfortable for indoor use  and run a custom script that measures typical phone use with no off screen time,"['battery', 'screen']"
 While not outstanding  the Xperia XZ battery still lasted longer than the one on the LG G5 and Nexus 5X  but less than the battery of the iPhone 6s,"['battery', 'battery']"
 Sony is also proud of its tracking auto focus feature and here is how it works  tap on a moving object on your screen and the phone will automatically lock the focus on it and track it as it moves,['screen']
 It won t track small objects  for instance  and with Sony s super wide angle camera  most objects appear small unless you zoom in,['camera']
  When it comes to the front camera  we re content with it  but again  we don t find it to be extraordinary,['camera']
 So in conclusion  yes  the Xperia XZ is a feature packed camera  but rather than that being a plus  it ends up making it overcomplicated and far from intuitive,['camera']
  In terms of special sauce for the main camera  Sony brings in an additional laser AF that helps lock focus faster  and also a color sensor that helps the phone properly set the white balance of an image,['camera']
  The Sony camera app is a worthy subject of a separate discussion  as it has so many peculiarities that it s hard to sum them up in a few sentences,['camera']
 Yet  the Xperia XZ does support 4K capture  but you need to scroll further up to camera apps  and only then select 4K video  These are all things that are far from intuitive,['camera']
    The lock screen Image  1 of 21 Yes  we have the same old Sony skin on top of Android 6 Marshmallow here  and there are two things to keep in mind  first  the Sony skin is rather simple  but also without much of a special sauce  it starts to feel a bit bland  and secondly  given that the XZ will launch in the same time as Android 7 Nougat  we can see how many would be annoyed  rightfully  for not having the latest version of Google s platform,['screen']
  We are not very happy with a few of the basic features of the XZ  particularly  the on screen keyboard,['screen']
2  Full HD display is sharp enough so that most users won t see pixelization,['display']
 We find no issue with it  hence  no reason to complain about it not being a Quad HD display,['display']
