Now it is necessary to talk about the front of the Xiaomi Mi 6 where what stands out most is the screen,['screen']
There are several reasons that lead us to say this but the two main ones are a memory of 6 GB and a processor Snapdragon 835 with its corresponding Adreno 540,"['memory', 'processor']"
Of this we are not going to talk much since as usual it offers a good amount of personalized options and to our surprise in some occasions they have stayed in memory more than expected,['memory']
350 mAh that has the battery of the terminal,['battery']
We have arrived without problems to a day and a half of use what is not bad considering the processor that integrates there they are noticed the 10 nanometers of technology of manufacture that are used in the Snapdragon 835,['processor']
In addition the screen of which we will speak next,['screen']
With the display on steadily and depending on the brightness the hairpin goes from six hours to peaks of eleven which is quite good,['display']
0 and it's a shame that it's the fourth version getting fill up 50's battery is just a 30 minute question mark but that's in line with the vast majority of the high end of this 2017,['battery']
The screen integrated into the Xiaomi Mi 6 is 5 15 inches with an IPS panel with Full HD resolution,['screen']
Note that here Xiaomi has not put the rest as it has done in the processor and RAM,"['processor', 'ram']"
That yes the speed of work that offers the camera is remarkable as well as the application of control that is complete,['camera']
That yes in some sections as the design or the screen is clearly a step below the most outstanding that we have tested to date,['screen']
That is to say that it complies with the record but without highlighting in excess and even some media range premium is able to offer as little the same level in its screen that offered by the Xiaomi Mi 6,['screen']
As usual in the terminals of Xiaomi it is not possible to extend the storage included in the unit we tested is 64 GB and without being especially fast we have seen better since this component is type UFS 2,['storage']
0 the truth perfectly complies so that no bottleneck occurs when working with the processor and RAM,"['processor', 'ram']"
These are some of the results that we have obtained in the performance tests and that demonstrate that the combination of RAM and the processor of Qualcomm allow to be to the Xiaomi Mi 6 of the best thing that we have seen to date we will see that happens when the OnePlus 5 happens By our hands Summarizing the Xiaomi Mi 6 is a nice phone that does not disappoint and that perfectly meets but does not stand out against models with which it is supposedly facing such as those of Samsung and LG both in our opinion are more attractive and differential,"['ram', 'processor']"
 A five inch screen in a hot  curved metal and glass body,['screen']
 A dual camera with 2x optical zoom,['camera']
 Even the premium model is half the price of a name brand counterpart   we re talking ceramic finish and 18 karat gold plated camera rims,['camera']
 The Mi 6 lost the audio jack in favor of more battery juice  which should have made it easier for Xiaomi to focus on waterproofing,['battery']
 The Mi 6 gained almost 40g  and most of those we can attribute to the sturdy stainless steel frame and the larger battery,['battery']
 The placeholder for the capacitive Home key is almost like carved out of the front screen glass and it does not come with a metal rim as was the case on the Mi 5,['screen']
 Above the screen is the earpiece  which also doubles as a speaker,['screen']
 The 8MP selfie camera is around  a notification LED  and a couple of sensors,['camera']
 Much have changed since the Mi 5  but the display is not among the long list of upgrades,['display']
 We re already used to seeing QHD screens on flagships but on a screen of this diagonal  we re quite content with 1080p as well,['screen']
 You can choose from three different options for the screen s color calibration,['screen']
 When you use the phone in bright light  it would brighten up any dark on screen areas to make them better legible,['screen']
 The Xiaomi Mi 6 has a sealed battery of 3 350mAh,['battery']
0 and the supplied charger can fill up to 55  of a depleted battery in 30 minutes,['battery']
 Our endurance rating stands for how long a single battery charge will last you if you were to use the Xiaomi Mi 6 for an hour each of telephony  web browsing  and video playback daily,['battery']
 We ve established this usage pattern so our battery results are comparable across devices in the most common day to day tasks,['battery']
 The battery testing procedure is described in detail in case you re interested in the nitty gritties,['battery']
 You can also check out our complete battery test table  where you can see how all of the smartphones we ve tested will compare under your own typical use,['battery']
 It packs an octa core Kryo 280 processor  4x2,['processor']
9GHz   Adreno 540 GPU  and 6 gigs of RAM in the case of Mi 6,['ram']
 The Snapdragon 835 has one of the most powerful processor to date  sharing the first place with Samsung s Exynos 8895 Octa,['processor']
 It is bested only by the iPhone 7  which runs on even lower 750p screen,['screen']
 Both apps feature on  and off screen tests  and thus give a better understanding of the GPU performance,['screen']
 Finally  we ran BaseMark OS II compound benchmarks   they gauge CPU  GPU  RAM  Web  and OS performance,['ram']
 The Snapdragon 835 chip may not be an equal to the latest Exynos SoC  but having a 1080p screen helped the Mi 6 score better than the Galaxy S8 lineup,['screen']
 It can scan your phone for malware  manage your blacklist  manage or restrict your data usage  configure battery behavior  and free up some RAM,"['battery', 'ram']"
 The Xiaomi Mi 6 comes with a custom Gallery app that shows the camera row by default  but the second tab includes all images and videos on the phone,['camera']
 Now  the Mi 6 is hopping on the dual camera train  but it has swapped the monochrome sensor with a telephoto one,['camera']
 The telephoto camera also does a great job in good light and comes in handy when you need a bit of zoom,['camera']
 Its quality gets close to the main camera s   the images have plenty of detail and the same great processing  colors  and dynamic range,['camera']
 The Mi 6 regular camera has a wide dynamic range  sure  but there are times when you d still want to use the HDR,['camera']
 The stabilization and the wider aperture help the Mi 6 s main camera to produce pleasant pictures with lots of fine detail and natural colors despite the spike in the noise levels,['camera']
 It s not much as we ve seen other phones offer much longer exposure times  but we guess you can download a long exposure camera app from the Play Store if it s badly needed,['camera']
 Just like Apple  Xiaomi wants you to use the telephoto camera only in really good light and mostly for portraits,['camera']
6  the lack of optical stabilization and its smaller sensor  the telephoto camera is probably unfit to capture good low light images,['camera']
 Portrait mode uses the Telephoto camera and some software trickery to create a photo with a faux bokeh   an artificially blurry background resembling the one that occurs naturally when you use a lens with a bright aperture on a large sensor camera,"['camera', 'camera']"
 Its images came out with somewhat duller colors and less contrast  that s how the camera is tuned in this generation   but the pixel peepers will find the bokeh effect to be better,['camera']
 We also tested out the 8MP front facing camera,['camera']
 The new dual camera is the highlight of the package,['camera']
 Even if it doesn t get Mi 5 owners craving for an upgrade though  the latest Snapdragon 835 chip and 6GB of RAM might as well,['ram']
 It s not just design cues that Xiaomi obviously took from Apple   the dual camera and stereo speakers are a direct response to the iPhone 7 Plus,['camera']
15  smartphone with a dual camera and you can take this the wrong way if you re not paying attention,['camera']
 There is obviously a really strong emphasis on the screen size in this statement,['screen']
